Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,,
Data was last updated 10-01-2018,,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
1/1/2016,00 - 01,"16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","28,11","28,11",
1/1/2016,01 - 02,"16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04",
1/1/2016,02 - 03,"15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74",
1/1/2016,03 - 04,"15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57",
1/1/2016,04 - 05,"15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47",
1/1/2016,05 - 06,"15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75",
1/1/2016,06 - 07,"15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36"
1/1/2016,07 - 08,"15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37"
1/1/2016,08 - 09,"15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","17,57","17,57","15,19"
1/1/2016,09 - 10,"15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","35,00","35,00","15,39"
1/1/2016,10 - 11,"15,78","15,78","15,78","15,78","15,78","15,78","15,78","15,78","15,78","15,78","15,78","15,78","15,78","15,78","15,78","35,06","35,06","15,78"
1/1/2016,11 - 12,"16,15","16,15","16,15","16,15","16,15","16,15","16,15","16,15","16,15","16,15","16,15","16,15","16,15","16,15","16,15","35,03","35,03","16,15"
1/1/2016,12 - 13,"16,50","16,50","16,50","16,50","16,50","16,50","16,50","16,50","16,50","16,50","16,50","16,50","16,50","16,50","16,50","35,04","35,04","16,50"
1/1/2016,13 - 14,"16,72","16,72","16,72","16,72","16,72","16,72","16,72","16,72","16,72","16,72","16,72","16,72","16,72","16,72","16,72","35,05","35,05","16,72"
1/1/2016,14 - 15,"17,17","17,17","17,17","17,17","17,17","17,17","17,17","17,17","17,17","17,17","17,17","17,17","17,17","17,17","17,17","35,07","35,07","17,17"
1/1/2016,15 - 16,"18,00","18,00","18,00","18,00","18,00","18,00","18,00","18,00","18,00","18,00","18,00","18,00","18,00","18,00","18,00","39,81","39,81","18,00"
1/1/2016,16 - 17,"18,49","18,46","18,46","18,53","18,53","18,53","18,53","18,53","18,53","18,53","18,53","18,46","18,46","18,46","18,53","39,81","39,81","18,53"
1/1/2016,17 - 18,"18,80","18,51","18,51","19,11","19,11","19,11","19,11","19,11","19,11","19,11","19,11","18,51","18,51","18,51","19,11","39,81","39,81","19,11"
1/1/2016,18 - 19,"18,62","18,62","18,62","18,68","18,68","18,68","18,68","18,68","18,68","18,68","18,68","18,62","18,62","18,62","18,68","39,81","39,81","18,68"
1/1/2016,19 - 20,"17,92","17,93","17,93","17,93","17,93","17,93","17,93","17,93","17,93","17,93","17,93","17,93","17,93","17,93","17,93","35,69","35,69","17,93"
1/1/2016,20 - 21,"17,67","17,69","17,69","17,69","17,69","17,69","17,69","17,69","17,69","17,69","17,69","17,69","17,69","17,69","17,69","35,08","35,08","17,69"
1/1/2016,21 - 22,"17,37","17,33","17,33","17,33","17,33","19,29","17,33","17,33","17,33","17,33","17,33","17,33","17,33","17,33","19,29","33,43","33,43","19,29"
1/1/2016,22 - 23,"16,84","16,75","16,75","16,75","16,75","22,04","16,75","16,75","16,75","16,75","16,75","16,75","16,75","16,75","22,04","27,08","27,08",
1/1/2016,23 - 00,"16,23","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","20,08","20,08",
2/1/2016,00 - 01,"16,28","16,47","16,47","16,47","16,47","16,47","0,67","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47",
2/1/2016,01 - 02,"15,85","15,89","15,89","15,89","15,89","15,89","9,90","15,89","15,89","15,89","15,89","15,89","15,89","15,89","15,89","20,01","20,01",
2/1/2016,02 - 03,"15,02","15,03","15,03","15,03","15,03","15,03","15,03","15,03","15,03","15,03","15,03","15,03","15,03","15,03","15,03","18,07","18,07",
2/1/2016,03 - 04,"13,18","13,19","13,19","13,19","13,19","13,19","12,77","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","19,21","19,21",
2/1/2016,04 - 05,"12,69","12,69","12,69","12,69","12,69","12,69","11,27","12,69","12,69","12,69","12,69","12,69","12,69","12,69","12,69","19,42","19,42",
2/1/2016,05 - 06,"12,94","12,94","12,94","12,94","12,94","12,94","11,91","12,94","12,94","12,94","12,94","12,94","12,94","12,94","12,94","19,21","19,21",
2/1/2016,06 - 07,"13,58","13,59","13,59","13,59","13,59","13,59","12,62","13,59","13,59","13,59","13,59","13,59","13,59","13,59","13,59","20,29","20,29",
2/1/2016,07 - 08,"14,37","14,25","14,25","14,25","14,25","17,37","13,83","14,25","14,25","14,25","14,25","14,25","14,25","14,25","17,37","35,68","35,68","17,37"
2/1/2016,08 - 09,"15,74","15,70","15,70","15,70","15,70","19,34","16,12","15,70","15,70","15,70","15,70","15,70","15,70","15,70","19,34","37,08","37,08","19,34"
2/1/2016,09 - 10,"15,74","15,72","15,72","15,72","15,72","19,96","15,72","15,72","15,72","15,72","15,72","15,72","15,72","15,72","19,96","37,05","37,05","19,96"
2/1/2016,10 - 11,"15,99","15,97","15,97","15,97","15,97","19,91","15,97","15,97","15,97","15,97","15,97","15,97","15,97","15,97","19,91","37,08","37,08","19,91"
2/1/2016,11 - 12,"16,07","16,14","16,14","16,14","16,14","16,14","15,98","16,14","16,14","15,98","16,14","16,14","16,14","16,14","16,14","37,09","37,09","16,14"
2/1/2016,12 - 13,"15,89","15,87","15,87","15,87","15,87","15,87","15,87","15,87","15,87","15,87","15,87","16,06","16,06","16,06","15,87","37,09","37,09","15,87"
2/1/2016,13 - 14,"16,01","15,98","15,98","15,98","15,98","19,97","15,98","15,98","15,98","15,98","15,98","16,08","16,08","16,08","19,97","37,09","37,09","19,97"
2/1/2016,14 - 15,"16,20","16,12","16,12","16,12","16,12","27,76","15,99","16,12","16,12","15,99","16,12","16,13","16,13","16,13","27,76","39,80","39,80","27,76"
2/1/2016,15 - 16,"16,78","16,57","16,57","16,57","16,57","39,89","15,99","16,57","16,57","15,99","16,57","16,57","16,57","16,57","39,89","39,89","39,89","39,89"
2/1/2016,16 - 17,"17,54","17,29","17,29","17,29","17,29","39,89","16,22","17,29","17,29","16,22","17,29","17,29","17,29","17,29","39,89","39,89","39,89","39,89"
2/1/2016,17 - 18,"17,92","17,52","17,52","17,52","17,52","39,87","16,51","17,52","17,52","16,51","17,52","17,52","17,52","17,52","39,87","39,87","39,87","39,87"
2/1/2016,18 - 19,"17,61","17,37","17,37","17,37","17,37","39,89","16,37","17,37","17,37","16,37","17,37","17,37","17,37","17,37","39,89","39,89","39,89","39,89"
2/1/2016,19 - 20,"16,96","16,95","16,95","16,95","16,95","34,78","16,08","16,95","16,95","16,08","16,95","16,95","16,95","16,95","34,78","39,86","39,86","34,78"
2/1/2016,20 - 21,"16,70","16,56","16,56","16,56","16,56","30,08","16,15","16,56","16,56","16,15","16,56","16,56","16,56","16,56","30,08","39,82","39,82","30,08"
2/1/2016,21 - 22,"16,14","15,83","15,83","15,83","15,83","31,36","15,83","15,83","15,83","15,83","15,83","15,83","15,83","15,83","31,36","35,70","35,70","31,36"
2/1/2016,22 - 23,"16,03","15,82","15,82","15,82","15,82","27,13","15,82","15,82","15,82","15,82","15,82","15,82","15,82","15,82","27,13","29,20","29,20","27,13"
2/1/2016,23 - 00,"15,46","15,31","15,31","15,31","15,31","23,61","15,31","15,31","15,31","15,31","15,31","15,31","15,31","15,31","23,61","27,12","27,12","23,61"
3/1/2016,00 - 01,"16,01","15,99","15,99","15,99","15,99","17,95","6,99","15,99","15,99","15,99","15,99","15,99","15,99","15,99","17,95","25,32","25,32","17,95"
3/1/2016,01 - 02,"15,59","15,87","15,87","15,87","15,87","15,87","-0,01","15,87","15,87","15,87","15,87","15,87","15,87","15,87","15,87","19,41","19,41","15,87"
3/1/2016,02 - 03,"15,68","15,76","15,76","15,76","15,76","15,76","0,23","15,76","15,76","15,76","15,76","15,76","15,76","15,76","15,76","18,64","18,64","15,76"
3/1/2016,03 - 04,"15,55","15,59","15,59","15,59","15,59","15,59","4,51","15,59","15,59","15,59","15,59","15,59","15,59","15,59","15,59","19,41","19,41","15,59"
3/1/2016,04 - 05,"15,29","15,69","15,69","15,69","15,69","15,69","4,12","15,69","15,69","14,43","15,69","15,69","15,69","15,69","15,69","19,22","19,22","15,69"
3/1/2016,05 - 06,"15,58","15,83","15,83","15,83","15,83","15,83","6,76","15,83","15,83","14,96","15,83","15,83","15,83","15,83","15,83","19,46","19,46","15,83"
3/1/2016,06 - 07,"15,06","14,98","14,98","14,98","14,98","14,98","0,75","14,98","14,98","14,98","14,98","15,89","15,89","15,89","14,98","35,68","35,68","14,98"
3/1/2016,07 - 08,"15,52","15,53","15,53","15,53","15,53","15,53","4,27","15,53","15,53","15,53","15,53","15,84","15,84","15,84","15,53","39,88","39,88","15,53"
3/1/2016,08 - 09,"15,78","15,79","15,79","15,79","15,79","15,79","9,11","15,79","15,79","15,79","15,79","16,06","16,06","16,06","15,79","45,01","45,01","15,79"
3/1/2016,09 - 10,"16,23","16,36","16,36","16,36","16,36","16,36","15,92","16,36","16,36","16,17","16,36","16,36","16,36","16,36","16,36","45,09","45,09","16,36"
3/1/2016,10 - 11,"16,88","17,15","17,15","17,15","17,15","17,15","16,70","17,15","17,15","16,44","17,15","17,15","17,15","17,15","17,15","45,00","45,00","17,15"
3/1/2016,11 - 12,"17,58","17,94","17,94","17,94","17,94","17,94","16,49","17,94","17,94","16,49","17,94","17,94","17,94","17,94","17,94","45,01","45,01","17,94"
3/1/2016,12 - 13,"17,55","17,94","17,94","17,94","17,94","17,94","16,37","17,94","17,94","16,37","17,94","17,94","17,94","17,94","17,94","45,01","45,01","17,94"
3/1/2016,13 - 14,"17,18","17,66","17,66","17,66","17,66","17,66","16,35","17,66","17,66","16,35","17,66","17,66","17,66","17,66","17,66","45,01","45,01","17,66"
3/1/2016,14 - 15,"17,41","17,66","17,66","17,66","17,66","23,40","16,35","17,66","17,66","16,35","17,66","17,66","17,66","17,66","23,40","45,00","45,00","23,40"
3/1/2016,15 - 16,"17,47","17,60","17,60","17,60","17,60","27,20","16,30","17,60","17,60","16,30","17,60","17,60","17,60","17,60","27,20","45,10","45,10","27,20"
3/1/2016,16 - 17,"18,62","18,61","18,61","18,61","18,61","28,72","16,45","18,61","18,61","16,45","18,61","18,61","18,61","18,61","28,72","45,04","45,04","28,72"
3/1/2016,17 - 18,"19,17","19,11","19,11","19,11","19,11","27,12","17,22","19,11","19,11","17,22","19,11","19,11","19,11","19,11","27,12","45,04","45,04","27,12"
3/1/2016,18 - 19,"18,84","18,86","18,86","18,86","18,86","25,57","16,83","18,86","18,86","16,83","18,86","18,86","18,86","18,86","25,57","50,04","50,04","25,57"
3/1/2016,19 - 20,"18,34","18,51","18,51","18,51","18,51","24,99","16,48","18,51","18,51","16,48","18,51","18,51","18,51","18,51","24,99","39,87","39,87","24,99"
3/1/2016,20 - 21,"17,90","18,08","18,08","18,08","18,08","19,58","16,43","18,08","18,08","16,43","18,08","18,08","18,08","18,08","19,58","39,89","39,89","19,58"
3/1/2016,21 - 22,"17,52","17,72","17,72","17,72","17,72","22,02","16,43","17,72","17,72","16,43","17,72","17,72","17,72","17,72","22,02","35,68","35,68","22,02"
3/1/2016,22 - 23,"16,79","17,03","17,03","17,03","17,03","20,98","17,03","17,03","17,03","16,26","17,03","17,03","17,03","17,03","20,98","31,89","31,89","20,98"
3/1/2016,23 - 00,"15,67","15,74","15,74","15,74","15,74","15,74","14,43","15,74","15,74","15,74","15,74","15,88","15,88","15,88","15,74","26,06","26,06","15,74"
4/1/2016,00 - 01,"15,83","15,96","15,96","15,96","15,96","15,96","13,78","15,96","15,96","15,86","15,96","15,96","15,96","15,96","15,96","30,37","30,37","15,96"
4/1/2016,01 - 02,"15,56","15,81","15,81","15,81","15,81","15,81","12,77","15,81","15,81","15,59","15,81","15,81","15,81","15,81","15,81","29,91","29,91","15,81"
4/1/2016,02 - 03,"15,41","15,56","15,56","15,56","15,56","15,56","10,56","15,56","15,56","15,43","15,56","15,56","15,56","15,56","15,56","26,08","26,08","15,56"
4/1/2016,03 - 04,"15,44","15,57","15,57","15,57","15,57","15,57","3,87","15,57","15,57","15,56","15,57","15,57","15,57","15,57","15,57","26,08","26,08","15,57"
4/1/2016,04 - 05,"15,73","15,92","15,92","15,92","15,92","15,92","3,20","15,92","15,92","15,86","15,92","15,92","15,92","15,92","15,92","31,56","31,56","15,92"
4/1/2016,05 - 06,"16,22","16,76","16,76","16,76","16,76","27,16","8,67","16,76","16,76","15,90","16,76","16,76","16,76","16,76","27,16","51,31","51,31","27,16"
4/1/2016,06 - 07,"18,10","18,01","18,01","18,01","18,01","34,03","18,01","18,01","18,01","16,40","18,01","18,01","18,01","18,01","34,03","51,32","51,32","34,03"
4/1/2016,07 - 08,"20,20","19,54","19,54","19,54","19,54","34,47","19,54","19,54","19,54","19,34","19,54","19,54","19,54","19,54","34,47","51,33","51,33","34,47"
4/1/2016,08 - 09,"21,66","20,49","20,49","20,49","20,49","34,46","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","34,46","51,33","51,33","34,46"
4/1/2016,09 - 10,"20,97","20,49","20,49","20,49","20,49","34,05","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","34,05","51,33","51,33","34,05"
4/1/2016,10 - 11,"21,02","20,47","20,47","20,47","20,47","34,08","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","34,08","51,33","51,33","34,08"
4/1/2016,11 - 12,"20,74","20,14","20,14","20,14","20,14","34,08","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","34,08","51,33","51,33","34,08"
4/1/2016,12 - 13,"20,43","19,85","19,85","19,85","19,85","34,08","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","34,08","51,33","51,33","34,08"
4/1/2016,13 - 14,"20,42","19,83","19,83","19,83","19,83","34,41","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","34,41","51,33","51,33","34,41"
4/1/2016,14 - 15,"20,61","19,88","19,88","19,88","19,88","34,44","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","34,44","51,33","51,33","34,44"
4/1/2016,15 - 16,"20,95","20,09","20,09","20,09","20,09","34,49","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","34,49","51,33","51,33","34,49"
4/1/2016,16 - 17,"22,61","20,88","20,88","22,06","22,06","34,46","20,79","22,06","22,06","20,79","20,79","20,88","20,88","20,88","34,46","51,33","51,33","34,46"
4/1/2016,17 - 18,"23,63","20,76","20,76","28,48","28,48","34,44","21,07","28,48","28,48","21,07","21,07","20,76","20,76","20,76","34,44","51,33","51,33","34,44"
4/1/2016,18 - 19,"21,75","20,54","20,54","20,54","20,54","34,45","20,54","20,54","20,54","20,54","20,54","20,54","20,54","20,54","34,45","51,32","51,32","34,45"
4/1/2016,19 - 20,"20,42","19,77","19,77","19,77","19,77","34,43","19,77","19,77","19,77","19,77","19,77","19,77","19,77","19,77","34,43","51,32","51,32","34,43"
4/1/2016,20 - 21,"19,44","19,05","19,05","19,05","19,05","33,54","19,05","19,05","19,05","19,05","19,05","19,05","19,05","19,05","33,54","48,07","48,07","33,54"
4/1/2016,21 - 22,"18,85","18,50","18,50","18,50","18,50","32,96","18,50","18,50","18,50","18,50","18,50","18,50","18,50","18,50","32,96","48,00","48,00","32,96"
4/1/2016,22 - 23,"17,91","17,71","17,71","17,71","17,71","23,96","17,71","17,71","17,71","17,71","17,71","17,71","17,71","17,71","23,96","34,98","34,98","23,96"
4/1/2016,23 - 00,"17,08","17,03","17,03","17,03","17,03","19,10","17,03","17,03","17,03","17,03","17,03","17,03","17,03","17,03","19,10","30,95","30,95","19,10"
5/1/2016,00 - 01,"17,68","17,68","17,68","17,68","17,68","17,68","17,68","17,68","17,68","17,68","17,68","17,68","17,68","17,68","17,68","30,42","30,42","17,68"
5/1/2016,01 - 02,"17,33","17,33","17,33","17,33","17,33","17,33","17,33","17,33","17,33","17,33","17,33","17,33","17,33","17,33","17,33","29,07","29,07","17,33"
5/1/2016,02 - 03,"17,24","17,24","17,24","17,24","17,24","17,24","17,24","17,24","17,24","17,24","17,24","17,24","17,24","17,24","17,24","30,06","30,06","17,24"
5/1/2016,03 - 04,"17,32","17,32","17,32","17,32","17,32","17,32","17,32","17,32","17,32","17,32","17,32","17,32","17,32","17,32","17,32","30,07","30,07","17,32"
5/1/2016,04 - 05,"17,66","17,66","17,66","17,66","17,66","17,66","17,66","17,66","17,66","17,66","17,66","17,66","17,66","17,66","17,66","31,44","31,44","17,66"
5/1/2016,05 - 06,"18,22","17,92","17,92","17,92","17,92","32,99","17,92","17,92","17,92","17,92","17,92","17,92","17,92","17,92","32,99","37,58","37,58","32,99"
5/1/2016,06 - 07,"19,44","18,80","18,80","18,80","18,80","34,08","18,80","18,80","18,80","18,80","18,80","18,80","18,80","18,80","34,08","48,07","48,07","34,08"
5/1/2016,07 - 08,"22,72","20,51","20,51","20,51","20,51","34,44","20,51","20,51","20,51","20,51","20,51","20,51","20,51","20,51","34,44","55,04","55,04","34,44"
5/1/2016,08 - 09,"26,55","22,58","22,58","22,58","22,58","34,41","22,58","22,58","22,58","22,58","22,58","22,58","22,58","19,76","34,41","55,09","55,09","34,41"
5/1/2016,09 - 10,"26,73","23,13","23,13","23,13","23,13","34,07","21,73","23,13","23,13","21,73","21,73","23,13","23,13","19,95","34,07","55,11","55,11","34,07"
5/1/2016,10 - 11,"27,15","23,21","23,21","23,21","23,21","34,23","21,78","23,21","23,21","21,78","21,78","23,21","23,21","20,02","34,23","55,10","55,10","34,23"
5/1/2016,11 - 12,"26,11","21,91","21,91","21,91","21,91","34,09","21,64","21,91","21,91","21,64","21,64","21,91","21,91","20,09","34,09","55,13","55,13","34,09"
5/1/2016,12 - 13,"23,81","21,29","21,29","21,29","21,29","34,07","20,91","21,29","21,29","20,91","20,91","21,29","21,29","19,96","34,07","55,10","55,10","34,07"
5/1/2016,13 - 14,"22,58","20,98","20,98","20,98","20,98","34,40","20,61","20,98","20,98","20,61","20,61","20,98","20,98","19,81","34,40","55,11","55,11","34,40"
5/1/2016,14 - 15,"23,52","21,03","21,03","21,03","21,03","35,87","20,63","21,03","21,03","20,63","20,63","21,03","21,03","19,85","35,87","55,11","55,11","35,87"
5/1/2016,15 - 16,"27,10","23,17","23,17","23,17","23,17","55,05","20,71","23,17","23,17","20,71","20,71","23,17","23,17","19,93","55,05","55,10","55,10","55,05"
5/1/2016,16 - 17,"33,83","30,98","30,98","30,98","30,98","45,93","20,96","30,98","30,98","20,96","20,96","30,98","30,98","30,98","45,93","55,12","55,12","45,93"
5/1/2016,17 - 18,"34,09","34,63","34,63","34,63","34,63","38,08","21,23","34,63","34,63","21,23","21,23","34,63","34,63","34,63","38,08","55,11","55,11","38,08"
5/1/2016,18 - 19,"27,93","24,18","24,18","24,18","24,18","55,07","20,68","24,18","24,18","20,68","20,68","24,18","24,18","24,18","55,07","55,07","55,07","55,07"
5/1/2016,19 - 20,"23,79","20,83","20,83","20,83","20,83","36,48","20,48","20,83","20,83","20,48","20,48","20,83","20,83","20,83","36,48","55,00","55,00","36,48"
5/1/2016,20 - 21,"20,74","19,89","19,89","19,89","19,89","34,50","19,89","19,89","19,89","19,89","19,89","19,89","19,89","19,89","34,50","49,04","49,04","34,50"
5/1/2016,21 - 22,"20,18","19,39","19,39","19,39","19,39","35,82","19,39","19,39","19,39","19,39","19,39","19,39","19,39","19,39","35,82","41,34","41,34","35,82"
5/1/2016,22 - 23,"19,24","18,73","18,73","18,73","18,73","33,85","18,73","18,73","18,73","18,73","18,73","18,73","18,73","18,73","33,85","35,72","35,72","33,85"
5/1/2016,23 - 00,"18,24","17,97","17,97","17,97","17,97","25,05","17,97","17,97","17,97","17,97","17,97","17,97","17,97","17,97","25,05","33,26","33,26","25,05"
6/1/2016,00 - 01,"20,15","20,02","20,02","20,02","20,02","27,97","20,02","20,02","20,02","20,02","20,02","20,02","20,02","20,02","27,97","33,36","33,36","27,97"
6/1/2016,01 - 02,"19,74","19,63","19,63","19,63","19,63","23,61","19,63","19,63","19,63","19,63","19,63","19,63","19,63","19,63","23,61","31,53","31,53","23,61"
6/1/2016,02 - 03,"19,43","19,33","19,33","19,33","19,33","21,77","19,33","19,33","19,33","19,33","19,33","19,33","19,33","19,33","21,77","30,19","30,19","21,77"
6/1/2016,03 - 04,"19,47","19,35","19,35","19,35","19,35","22,42","19,35","19,35","19,35","19,35","19,35","19,35","19,35","19,35","22,42","30,08","30,08","22,42"
6/1/2016,04 - 05,"19,76","19,51","19,51","19,51","19,51","25,99","19,51","19,51","19,51","19,51","19,51","19,51","19,51","19,51","25,99","31,52","31,52","25,99"
6/1/2016,05 - 06,"20,21","19,81","19,81","19,81","19,81","32,94","19,81","19,81","19,81","19,81","19,81","19,81","19,81","19,81","32,94","37,34","37,34","32,94"
6/1/2016,06 - 07,"21,13","20,50","20,50","20,50","20,50","34,02","20,50","20,50","20,50","20,50","20,50","20,50","20,50","20,50","34,02","50,06","50,06","34,02"
6/1/2016,07 - 08,"24,84","22,06","22,06","22,06","22,06","34,05","22,06","22,06","22,06","22,06","22,06","22,06","22,06","22,06","34,05","50,07","50,07","34,05"
6/1/2016,08 - 09,"28,21","25,19","25,19","25,19","25,19","34,06","25,19","25,19","25,19","25,19","25,19","25,19","25,19","25,19","34,06","55,03","55,03","34,06"
6/1/2016,09 - 10,"34,01","28,24","28,24","28,24","28,24","34,09","28,24","28,24","28,24","28,24","28,24","28,24","28,24","28,24","34,09","45,03","45,03","34,09"
6/1/2016,10 - 11,"35,78","34,97","34,97","34,97","34,97","34,97","34,97","34,97","34,97","34,97","34,97","34,97","34,97","34,97","34,97","45,03","45,03","34,97"
6/1/2016,11 - 12,"39,26","37,95","37,95","37,95","37,95","37,95","37,95","37,95","37,95","37,95","37,95","37,95","37,95","37,95","37,95","44,08","44,08","37,95"
6/1/2016,12 - 13,"38,52","37,37","37,37","37,37","37,37","37,37","37,37","37,37","37,37","37,37","37,37","37,37","37,37","37,37","37,37","50,03","50,03","37,37"
6/1/2016,13 - 14,"38,72","36,61","36,61","36,61","36,61","36,61","36,61","36,61","36,61","36,61","36,61","36,61","36,61","36,61","36,61","44,09","44,09","36,61"
6/1/2016,14 - 15,"34,91","29,75","29,75","29,75","29,75","35,44","29,75","29,75","29,75","29,75","29,75","29,75","29,75","29,75","35,44","44,09","44,09","35,44"
6/1/2016,15 - 16,"38,43","36,04","36,04","36,04","36,04","55,11","28,17","36,04","36,04","28,17","28,17","36,04","36,04","36,04","55,11","55,11","55,11","55,11"
6/1/2016,16 - 17,"42,45","41,28","41,28","41,28","41,28","55,11","28,23","41,28","41,28","28,23","28,23","41,28","41,28","41,28","55,11","55,11","55,11","55,11"
6/1/2016,17 - 18,"46,41","44,95","44,95","44,95","44,95","55,10","29,60","44,95","44,95","29,60","29,60","44,95","44,95","44,95","55,10","55,10","55,10","55,10"
6/1/2016,18 - 19,"45,35","46,46","46,46","46,46","46,46","55,09","28,19","46,46","46,46","28,19","28,19","46,46","46,46","46,46","55,09","55,09","55,09","55,09"
6/1/2016,19 - 20,"36,25","42,89","42,89","42,89","42,89","44,08","26,87","42,89","42,89","26,87","26,87","42,89","42,89","42,89","44,08","44,08","44,08","44,08"
6/1/2016,20 - 21,"30,68","24,87","24,87","24,87","24,87","34,45","24,87","24,87","24,87","24,87","24,87","24,87","24,87","24,87","34,45","44,09","44,09","34,45"
6/1/2016,21 - 22,"26,89","22,06","22,06","22,06","22,06","37,20","22,06","22,06","22,06","22,06","22,06","22,06","22,06","22,06","37,20","37,33","37,33","37,20"
6/1/2016,22 - 23,"21,52","20,47","20,47","20,47","20,47","34,48","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","34,48","34,56","34,56","34,48"
6/1/2016,23 - 00,"20,08","19,37","19,37","19,37","19,37","31,52","19,37","19,37","19,37","19,37","19,37","19,37","19,37","19,37","31,52","32,08","32,08","31,52"
7/1/2016,00 - 01,"22,74","22,61","22,61","22,61","22,61","29,10","21,94","22,61","22,61","21,94","21,94","22,61","22,61","22,61","29,10","34,58","34,58","29,10"
7/1/2016,01 - 02,"21,88","21,75","21,75","21,75","21,75","27,16","21,75","21,75","21,75","21,75","21,75","21,75","21,75","21,75","27,16","33,75","33,75","27,16"
7/1/2016,02 - 03,"21,64","21,50","21,50","21,50","21,50","27,14","21,50","21,50","21,50","21,50","21,50","21,50","21,50","21,50","27,14","32,62","32,62","27,14"
7/1/2016,03 - 04,"21,76","21,52","21,52","21,52","21,52","27,92","21,52","21,52","21,52","21,52","21,52","21,52","21,52","21,52","27,92","31,84","31,84","27,92"
7/1/2016,04 - 05,"22,39","21,83","21,83","21,83","21,83","32,66","21,60","21,83","21,83","21,60","21,60","21,83","21,83","21,83","32,66","32,66","32,66","32,66"
7/1/2016,05 - 06,"26,45","24,20","24,20","24,20","24,20","40,76","21,62","24,20","24,20","21,62","21,62","24,20","24,20","24,20","40,76","40,76","40,76","40,76"
7/1/2016,06 - 07,"33,44","27,07","27,07","27,07","27,07","57,02","22,16","27,07","27,07","22,16","22,16","27,07","27,07","27,07","57,02","57,02","57,02","57,02"
7/1/2016,07 - 08,"54,97","72,26","72,26","72,26","72,26","72,26","27,80","72,26","72,26","27,80","27,80","72,26","72,26","72,26","72,26","72,26","72,26","72,26"
7/1/2016,08 - 09,"59,70","99,93","99,93","99,93","99,93","99,93","30,48","99,93","99,93","30,48","30,48","99,93","99,93","99,93","99,93","99,93","99,93","99,93"
7/1/2016,09 - 10,"58,03","79,60","79,60","79,60","79,60","79,60","29,34","79,60","79,60","29,34","29,34","79,60","79,60","79,60","79,60","79,60","79,60","79,60"
7/1/2016,10 - 11,"57,04","74,91","74,91","74,91","74,91","74,91","29,27","74,91","74,91","29,27","29,27","74,91","74,91","74,91","74,91","74,91","74,91","74,91"
7/1/2016,11 - 12,"54,94","61,37","61,37","61,37","61,37","61,37","27,04","61,37","61,37","27,04","27,04","61,37","61,37","61,37","61,37","61,37","61,37","61,37"
7/1/2016,12 - 13,"47,74","59,91","59,91","59,91","59,91","59,91","28,44","59,91","59,91","28,44","28,44","59,91","59,91","59,91","59,91","59,91","59,91","59,91"
7/1/2016,13 - 14,"42,90","61,85","61,85","61,85","61,85","61,85","26,08","61,85","61,85","26,08","26,08","61,85","61,85","61,85","61,85","61,85","61,85","61,85"
7/1/2016,14 - 15,"43,71","59,69","59,69","59,69","59,69","59,69","24,85","59,69","59,69","24,85","24,85","59,69","59,69","59,69","59,69","59,69","59,69","59,69"
