TIMESTAMP,U10,V10,U100,V100
20180101 01:00,3.84219,6.22313,6.16049,8.55337
20180101 02:00,3.89048,7.04302,6.15886,9.52636
20180101 03:00,7.40522,6.96923,10.5182,9.21413
20180101 04:00,5.80698,7.3014,8.36173,9.81111
20180101 05:00,5.47721,7.32334,7.94547,9.75995
20180101 06:00,6.62061,7.01126,9.36945,9.17774
20180101 07:00,7.69607,5.07705,10.6519,6.45791
20180101 08:00,10.5581,3.68671,14.166,4.56518
20180101 09:00,13.65,1.33147,18.109,1.35882
20180101 10:00,11.1738,2.96248,15.2914,3.78556
20180101 11:00,11.53,3.28225,15.5483,4.23129
20180101 12:00,10.3412,5.76152,13.7467,7.42064
20180101 13:00,8.68909,5.76511,11.5499,7.40638
20180101 14:00,8.62265,4.81109,11.5912,6.10918
20180101 15:00,9.71051,3.468,12.9031,4.36475
20180101 16:00,9.30439,2.89709,12.5259,3.59872
20180101 17:00,8.54551,2.78383,11.5722,3.4687
20180101 18:00,8.36262,2.98689,11.3913,3.71577
20180101 19:00,8.20412,3.05076,11.1993,3.79043
20180101 20:00,7.36798,3.43674,10.2736,4.27114
20180101 21:00,7.38284,2.72444,10.2706,3.31534
20180101 22:00,7.51074,2.36761,10.4087,2.83803
20180101 23:00,7.20844,1.60845,10.0187,1.86718
20180102 00:00,7.0897,0.676205,9.8696,0.414218
