TIMESTAMP,POWER
20180102 01:00,0.571278195861668
20180102 02:00,0.577900367550331
20180102 03:00,0.550914661106901
20180102 04:00,0.509067626629716
20180102 05:00,0.38028430171023
20180102 06:00,0.334658026306225
20180102 07:00,0.29433512275386
20180102 08:00,0.327425887833979
20180102 09:00,0.47128393118234
20180102 10:00,0.420234723110728
20180102 11:00,0.380635130938143
20180102 12:00,0.396122060995332
20180102 13:00,0.357461484066625
20180102 14:00,0.176469761415838
20180102 15:00,0.397187842872532
20180102 16:00,0.527533831608875
20180102 17:00,0.617088370620879
20180102 18:00,0.497277426091682
20180102 19:00,0.712431202164841
20180102 20:00,0.701469009174909
20180102 21:00,0.730285335666942
20180102 22:00,0.759271702713369
20180102 23:00,0.885496907002043
20180103 00:00,0.950150233562858
20180103 01:00,0.978259511413856
20180103 02:00,0.980227422951999
20180103 03:00,0.953948433535563
20180103 04:00,0.953780386331224
20180103 05:00,0.915627523315048
20180103 06:00,0.887238055111393
20180103 07:00,0.703106643322762
20180103 08:00,0.389098890522175
20180103 09:00,0.508010706938074
20180103 10:00,0.477244337522911
20180103 11:00,0.543645500786286
20180103 12:00,0.143422394163752
20180103 13:00,0.0726563896743861
20180103 14:00,0.0521895295735579
20180103 15:00,0.0934995847159579
20180103 16:00,0.0575609800639049
20180103 17:00,0.0941960064463549
20180103 18:00,0.104770286024641
20180103 19:00,0.230557857302324
20180103 20:00,0.454465755023189
20180103 21:00,0.685521675110534
20180103 22:00,0.833289972844101
20180103 23:00,0.807495644470414
20180104 00:00,0.742703067859087
20180104 01:00,0.755656446874488
20180104 02:00,0.749902024139043
20180104 03:00,0.746735925084989
20180104 04:00,0.700595428666128
20180104 05:00,0.716960777370189
20180104 06:00,0.599419665691964
20180104 07:00,0.349997612283531
20180104 08:00,0.471582170073742
20180104 09:00,0.434536498266219
20180104 10:00,0.178043648629871
20180104 11:00,0.173472064620542
20180104 12:00,0.133410960610367
20180104 13:00,0.166151528207795
20180104 14:00,0.136183109946828
20180104 15:00,0.0274930581431769
20180104 16:00,0.00686359043046139
20180104 17:00,0.00141997160958239
20180104 18:00,0.0188018431371515
20180104 19:00,0.0628795121477539
20180104 20:00,0.0694485575310963
20180104 21:00,0.0609320712523583
20180104 22:00,0.041129874532752
20180104 23:00,0.0595600053146683
20180105 00:00,0.0479376414615681
20180105 01:00,0.0396605137886846
20180105 02:00,0.0473420471796874
20180105 03:00,0.132656898711414
20180105 04:00,0.0940318288156674
20180105 05:00,0.107719008296579
20180105 06:00,0.0771168004686765
20180105 07:00,0.0705489076290351
20180105 08:00,0.0496355265142909
20180105 09:00,0.0697289250040181
20180105 10:00,0.0753593828751258
20180105 11:00,0.0867365631285917
20180105 12:00,0.0170269724066668
20180105 13:00,0.0107967384301219
20180105 14:00,0.00058869724546278
20180105 15:00,0.00469110029915195
20180105 16:00,0.0122273709173671
20180105 17:00,0.142784402800698
20180105 18:00,0.110473424272894
20180105 19:00,0.0501532272809518
20180105 20:00,0.0572682425961893
20180105 21:00,0.0723676678736459
20180105 22:00,0.0427208458546511
20180105 23:00,0.0397318972147648
20180106 00:00,0.0124461675963155
20180106 01:00,0.0171808142761853
20180106 02:00,0.0216453004962145
20180106 03:00,0.0221104455532119
20180106 04:00,0.0353723745392198
20180106 05:00,0.0344087388073057
20180106 06:00,0.0220621722026984
20180106 07:00,0.0211211062895149
20180106 08:00,0.0401997724059246
20180106 09:00,0.0557065397609518
20180106 10:00,0.0214581094058678
20180106 11:00,0.0241163148502522
20180106 12:00,0.0684543612082468
20180106 13:00,0.0835928360527207
20180106 14:00,0.0684501884780093
20180106 15:00,0.0450219648996302
20180106 16:00,0.0867577243485303
20180106 17:00,0.151723390589265
20180106 18:00,0.126365693735471
20180106 19:00,0.131470169267466
20180106 20:00,0.247456545193724
20180106 21:00,0.229890569290377
20180106 22:00,0.242929903131584
20180106 23:00,0.225844940125152
20180107 00:00,0.132910658073285
20180107 01:00,0.102756926485982
20180107 02:00,0.06803835320431
20180107 03:00,0.0175909827549095
20180107 04:00,0.0638853031180386
20180107 05:00,0.0716148956268916
20180107 06:00,0.0721192014751598
20180107 07:00,0.0386105865376333
20180107 08:00,0.0211518912445696
20180107 09:00,0.00912608519960438
20180107 10:00,0.0154450390686777
20180107 11:00,0.0131824770343482
20180107 12:00,0.0403624313912316
20180107 13:00,0.0625639733462133
20180107 14:00,0.0801874316762276
20180107 15:00,0.115027730141122
20180107 16:00,0.0771886540353005
20180107 17:00,0.0479144854131304
20180107 18:00,0.0693135177297137
20180107 19:00,0.0899497147392906
20180107 20:00,0.126178248982598
20180107 21:00,0.14076118892927
20180107 22:00,0.26219692222105
20180107 23:00,0.126204161058958
20180108 00:00,0.0500216921723515
20180108 01:00,0.0672663287801897
20180108 02:00,0.0473602380782264
20180108 03:00,0.041123148916051
20180108 04:00,0.0366045329417071
20180108 05:00,0.0203534304169234
20180108 06:00,0.0113090861219423
20180108 07:00,0.0345127219072974
20180108 08:00,0.0454679247538509
20180108 09:00,0.0566728966492139
20180108 10:00,0.0282755548160549
20180108 11:00,0.0642050263495142
20180108 12:00,0.0647791247200588
20180108 13:00,0.0698911904915266
20180108 14:00,0.114945286193061
20180108 15:00,0.120934178190657
20180108 16:00,0.177790495586569
