TIMESTAMP,U10,V10,U100,V100
20180301 01:00,-9.48827,-1.6937,-12.5457,-1.87701
20180301 02:00,-9.32332,-2.33249,-12.4039,-2.71436
20180301 03:00,-8.74104,-2.4567,-11.6362,-2.91406
20180301 04:00,-8.27606,-2.51572,-10.8982,-2.95841
20180301 05:00,-7.46413,-2.53473,-9.80669,-2.89186
20180301 06:00,-7.31804,-3.04162,-9.67729,-3.5146
20180301 07:00,-7.64276,-3.60585,-10.0267,-4.22439
20180301 08:00,-7.50237,-3.65874,-9.75488,-4.28132
20180301 09:00,-9.15105,-2.55728,-11.5184,-2.82982
20180301 10:00,-9.98738,-0.485908,-12.666,-0.445202
20180301 11:00,-10.0867,-0.254551,-12.7004,-0.161134
20180301 12:00,-9.92883,-0.298836,-12.4795,-0.234583
20180301 13:00,-9.80641,-0.754845,-12.3407,-0.744225
20180301 14:00,-9.91738,-1.19393,-12.5361,-1.34147
20180301 15:00,-10.3888,-0.705946,-13.1669,-0.816012
20180301 16:00,-9.90638,-0.928224,-12.7864,-1.023
20180301 17:00,-9.17358,-1.0296,-11.6639,-1.12982
20180301 18:00,-8.30948,-1.29229,-10.6829,-1.43243
20180301 19:00,-8.6824,-0.650703,-11.188,-0.623391
20180301 20:00,-8.45625,-0.116664,-10.9469,0.0223446
20180301 21:00,-8.25918,-0.316891,-10.7204,-0.24077
20180301 22:00,-7.88196,-1.29572,-10.2406,-1.40746
20180301 23:00,-7.76513,-2.18697,-10.2468,-2.50087
20180302 00:00,-7.40873,-2.43605,-9.86558,-2.86155
20180302 01:00,-7.7159,-2.92843,-10.4057,-3.53111
20180302 02:00,-6.81603,-2.59668,-9.0889,-3.05003
20180302 03:00,-6.87143,-3.02557,-9.03463,-3.53275
20180302 04:00,-6.72457,-3.55087,-8.85321,-4.2511
20180302 05:00,-6.80369,-4.00002,-8.99431,-4.88908
20180302 06:00,-7.16959,-4.51332,-9.45745,-5.60296
20180302 07:00,-7.34229,-4.73904,-9.7411,-5.91494
20180302 08:00,-7.25842,-4.3167,-9.6878,-5.48503
20180302 09:00,-7.58921,-4.45501,-9.78214,-5.51325
20180302 10:00,-9.29891,-3.66401,-11.8005,-4.53311
20180302 11:00,-8.82435,-2.83139,-11.3311,-3.26463
20180302 12:00,-8.98772,-2.28545,-11.5843,-2.70408
20180302 13:00,-8.55743,-2.32851,-10.8841,-2.7504
20180302 14:00,-9.18007,-2.58379,-11.7382,-3.1606
20180302 15:00,-8.68964,-2.34796,-11.2066,-2.74551
20180302 16:00,-7.69354,-2.08953,-9.99923,-2.38167
20180302 17:00,-7.47363,-1.29984,-9.69953,-1.39398
20180302 18:00,-7.24578,-0.0542336,-9.43191,0.233219
20180302 19:00,-7.06533,0.586123,-9.22851,1.01882
20180302 20:00,-8.09352,0.337698,-10.6525,0.70639
20180302 21:00,-8.27494,0.383269,-10.8093,0.76084
20180302 22:00,-8.54104,1.32618,-10.8631,1.89231
20180302 23:00,-7.72515,2.11009,-9.76229,2.89394
20180303 00:00,-7.36253,2.03564,-9.28666,2.85297
20180303 01:00,-7.575,2.09068,-9.56659,2.91104
20180303 02:00,-7.06586,2.16423,-8.86822,2.99371
20180303 03:00,-7.06197,1.72848,-8.83201,2.44942
20180303 04:00,-7.21828,2.12359,-9.02084,2.89728
20180303 05:00,-7.49243,1.91005,-9.44757,2.64372
20180303 06:00,-7.48137,1.76668,-9.5302,2.53951
20180303 07:00,-7.51722,1.62506,-9.55096,2.34135
20180303 08:00,-7.52657,1.84327,-9.33338,2.50508
20180303 09:00,-7.32944,2.2644,-8.94899,2.8569
20180303 10:00,-6.80871,1.80754,-8.27674,2.19119
20180303 11:00,-6.87631,1.45265,-8.37592,1.80917
20180303 12:00,-7.79668,2.44944,-9.75118,3.1338
20180303 13:00,-7.90259,3.38029,-9.85878,4.12705
20180303 14:00,-7.68173,3.48829,-9.58998,4.27515
20180303 15:00,-7.24128,3.41792,-9.09546,4.24092
20180303 16:00,-7.02268,2.61756,-8.95505,3.30046
20180303 17:00,-7.11084,1.9297,-9.12628,2.62645
20180303 18:00,-7.07223,1.8335,-9.16689,2.58915
20180303 19:00,-7.12189,2.00348,-9.32258,2.85141
20180303 20:00,-7.0622,3.13407,-9.16125,4.33131
20180303 21:00,-7.21366,3.97141,-9.22718,5.40075
20180303 22:00,-7.45366,4.0559,-9.43457,5.46737
20180303 23:00,-7.28232,3.76487,-9.21097,5.11395
20180304 00:00,-7.19714,3.60996,-9.14305,4.92177
20180304 01:00,-7.53149,4.96252,-9.6054,6.60688
20180304 02:00,-7.74077,4.4697,-9.92666,5.96445
20180304 03:00,-7.43028,4.78605,-9.57751,6.4209
20180304 04:00,-7.30382,4.38993,-9.43571,5.93204
20180304 05:00,-6.82317,4.12306,-8.8001,5.57077
20180304 06:00,-6.72685,4.05338,-8.57881,5.46894
20180304 07:00,-7.20864,3.99345,-9.12266,5.35019
20180304 08:00,-7.83911,3.96734,-9.72391,5.19245
20180304 09:00,-8.33624,4.2971,-10.3463,5.46206
20180304 10:00,-7.8495,4.21183,-9.78232,5.24036
20180304 11:00,-7.57249,4.43044,-9.38867,5.46189
20180304 12:00,-7.37836,4.13264,-9.14606,5.08046
20180304 13:00,-7.44963,3.58787,-9.19988,4.45795
20180304 14:00,-7.31329,3.3125,-9.12353,4.08086
20180304 15:00,-7.31724,2.8166,-9.07301,3.55029
20180304 16:00,-7.38513,2.40691,-9.37429,3.04662
20180304 17:00,-7.46903,2.37262,-9.8297,3.31446
20180304 18:00,-7.42798,2.90514,-9.8517,4.07429
20180304 19:00,-7.75907,2.29692,-10.3023,3.47078
20180304 20:00,-7.54666,2.03265,-10.1337,3.28437
20180304 21:00,-7.36818,2.15043,-10.0128,3.53216
20180304 22:00,-7.51754,1.87648,-10.4811,3.2249
20180304 23:00,-7.34007,2.25633,-10.1625,3.75165
20180305 00:00,-7.64005,1.85233,-10.7966,3.4041
20180305 01:00,-8.23451,1.14222,-11.4551,2.23546
20180305 02:00,-8.06933,1.91055,-11.3432,3.14865
20180305 03:00,-8.39111,1.84272,-11.7376,3.16037
20180305 04:00,-8.47363,2.43043,-11.65,3.85912
20180305 05:00,-8.64897,2.61314,-11.787,4.14505
20180305 06:00,-8.87984,3.04782,-12.0155,4.79381
20180305 07:00,-8.4976,4.15371,-11.5594,6.55563
20180305 08:00,-7.64538,4.86921,-10.6015,8.32038
20180305 09:00,-6.71798,6.13972,-8.5014,10.5588
20180305 10:00,-1.56367,10.9865,-1.19576,15.7353
20180305 11:00,-1.55859,9.20546,-1.2474,13.6906
20180305 12:00,-0.0632629,9.04634,0.951309,12.8252
20180305 13:00,1.32014,8.9129,2.73069,12.679
20180305 14:00,2.00984,9.31415,3.67532,13.0028
20180305 15:00,2.46278,9.21346,4.27438,12.8842
20180305 16:00,3.60787,8.9439,5.90375,12.4177
20180305 17:00,3.52448,7.74478,5.87574,10.7071
20180305 18:00,3.28108,7.04338,5.55638,9.74335
20180305 19:00,2.95743,6.59852,5.18385,9.17385
20180305 20:00,3.23154,5.56892,5.6213,7.75294
20180305 21:00,2.85866,4.58006,5.16979,6.28294
20180305 22:00,1.0354,4.54725,2.8584,6.44737
20180305 23:00,0.292897,3.23479,1.90389,4.84806
20180306 00:00,-1.09385,2.84769,-0.0432081,4.41808
20180306 01:00,0.951546,2.13516,2.57573,2.41793
20180306 02:00,-0.259091,1.73409,1.18194,1.78236
20180306 03:00,-1.58482,1.75462,-0.783766,2.22596
20180306 04:00,-2.1282,1.40745,-2.05822,2.44853
20180306 05:00,-2.71659,0.444383,-3.18524,1.23908
20180306 06:00,-4.00941,0.377332,-5.3164,0.670228
20180306 07:00,-4.58034,1.06605,-6.39412,1.56209
20180306 08:00,-4.29657,1.16696,-6.16464,2.28889
20180306 09:00,-4.31225,0.707661,-5.98563,1.62166
20180306 10:00,-4.33178,0.627437,-6.14194,1.63381
20180306 11:00,-4.59736,0.997591,-6.30773,1.75342
20180306 12:00,-4.34581,1.35578,-6.16538,2.01986
20180306 13:00,-4.45988,1.93142,-6.32313,2.68193
20180306 14:00,-4.97608,2.16795,-6.90964,2.99408
20180306 15:00,-5.77255,2.2315,-8.10984,3.35544
20180306 16:00,-6.22384,2.02841,-9.14618,3.40566
20180306 17:00,-5.85689,2.26104,-9.10858,3.84912
20180306 18:00,-5.20919,2.41449,-8.44442,4.1183
20180306 19:00,-5.18915,2.9232,-8.21434,4.84219
20180306 20:00,-5.53148,3.08299,-8.45349,5.18871
20180306 21:00,-5.13177,2.75836,-8.06422,4.95481
20180306 22:00,-4.90795,2.67537,-7.62663,4.89761
20180306 23:00,-4.80587,2.32328,-7.18137,4.46799
20180307 00:00,-4.76856,2.01548,-7.02639,4.12252
20180307 01:00,-5.01749,1.54075,-7.68553,3.40608
20180307 02:00,-4.97621,1.45605,-7.58174,3.04374
20180307 03:00,-4.84274,1.65467,-7.39603,3.17273
20180307 04:00,-4.49395,1.54553,-6.76239,3.02371
20180307 05:00,-4.50046,1.61712,-6.68028,3.13501
20180307 06:00,-4.57883,1.66751,-6.64696,3.16408
20180307 07:00,-4.61456,1.75707,-6.54133,3.25655
20180307 08:00,-4.30919,1.6804,-5.92958,2.89365
20180307 09:00,-3.72922,1.75954,-4.80891,2.42331
20180307 10:00,-2.95793,1.75702,-3.90318,2.23076
20180307 11:00,-2.35619,1.97129,-3.13313,2.22754
20180307 12:00,-1.37714,2.17913,-2.43653,2.5187
20180307 13:00,-0.583982,2.17082,-1.7727,2.5709
20180307 14:00,-0.768762,2.25696,-2.0055,2.73428
20180307 15:00,-1.10904,2.28309,-2.50766,2.97502
20180307 16:00,-1.91378,2.41006,-3.56533,2.88
20180307 17:00,-2.66808,1.61656,-4.11119,2.06049
20180307 18:00,-2.58128,0.735544,-4.41714,1.49067
20180307 19:00,-2.09758,0.868294,-3.84583,1.93684
20180307 20:00,-1.50008,1.68649,-2.47124,2.81001
20180307 21:00,-0.886201,2.44583,-1.0972,3.24277
20180307 22:00,-0.757637,2.17652,-0.815439,3.04181
20180307 23:00,-1.46407,1.71395,-1.63666,2.63196
20180308 00:00,-2.40054,1.51259,-2.87713,2.43847
20180308 01:00,-2.90729,2.94786,-3.64717,4.15351
20180308 02:00,-3.41998,3.24771,-3.85628,3.95442
20180308 03:00,-3.57289,3.13467,-4.12383,3.7847
20180308 04:00,-3.42902,3.4858,-3.96429,4.19787
20180308 05:00,-3.20242,3.74294,-3.58871,4.47983
20180308 06:00,-3.50598,3.70179,-3.95336,4.45336
20180308 07:00,-3.46671,3.81734,-3.84731,4.60176
20180308 08:00,-3.6768,4.28292,-3.84972,4.75227
20180308 09:00,-3.44119,4.56219,-3.63042,5.32161
20180308 10:00,-3.30514,4.95767,-3.22355,5.7937
20180308 11:00,-1.7147,3.20956,-0.232236,4.28351
20180308 12:00,0.845374,2.91255,2.18924,3.65167
20180308 13:00,0.896655,4.70896,1.58499,6.19797
20180308 14:00,-0.875477,4.20592,-0.391465,5.42916
20180308 15:00,-1.46441,4.67269,-1.24084,6.54453
20180308 16:00,-3.23146,3.35575,-3.73345,5.43693
20180308 17:00,-4.07634,3.24409,-5.66948,5.99324
20180308 18:00,-1.8917,5.62665,-1.89362,8.15189
20180308 19:00,-1.66706,4.99325,-1.3716,6.58013
20180308 20:00,-2.86261,3.40766,-2.73211,5.72031
20180308 21:00,-2.23274,3.75407,-1.91008,6.38452
20180308 22:00,-0.976837,3.61801,0.224673,5.7248
20180308 23:00,0.512679,3.13028,2.21084,4.7059
20180309 00:00,0.96078,2.46926,2.62562,3.73719
20180309 01:00,-1.31908,1.57003,-0.0289736,2.83806
20180309 02:00,-0.392537,1.603,1.10455,2.15531
20180309 03:00,0.367149,0.234423,2.16207,0.247705
20180309 04:00,-0.730736,-1.55516,0.655893,-1.73624
20180309 05:00,-1.96769,-1.54381,-1.14691,-1.85296
20180309 06:00,-1.94975,-1.25619,-1.24685,-1.54451
20180309 07:00,-1.7657,-1.45415,-1.26754,-1.60644
20180309 08:00,-1.76843,-1.27456,-1.54856,-1.15443
20180309 09:00,-0.971353,-0.764396,-0.523507,-0.454459
20180309 10:00,0.339679,-1.50429,0.511966,-1.37245
20180309 11:00,0.511486,-2.0252,0.455529,-2.14377
20180309 12:00,1.47324,-1.59892,1.38856,-1.7914
20180309 13:00,2.6549,-1.11997,2.65765,-1.30623
